CO2,seconds
481,0
481,0.99
473,1.98
464,2.97
460,3.96
464,4.95
460,5.94
446,6.93
446,7.92
444,8.91
446,9.9
444,10.89
451,11.88
444,12.87
446,13.86
451,14.85
456,15.84
460,16.83
470,17.82
470,18.81
464,19.8
464,20.79
464,21.78
451,22.77
451,23.76
460,24.75
460,25.74
460,26.73
456,27.72
464,28.71
464,29.7
470,30.69
473,31.68
481,32.67
481,33.66
481,34.65
481,35.64
483,36.63
487,37.62
493,38.61
498,39.6
503,40.59
498,41.58
498,42.57
503,43.56
498,44.55
498,45.54
498,46.53
498,47.52
503,48.51
498,49.5
503,50.49
498,51.48
503,52.47
498,53.46
503,54.45
503,55.44
508,56.43
520,57.42
527,58.41
556,59.4
589,60.39
589,61.38
581,62.37
589,63.36
589,64.35
589,65.34
581,66.33
553,67.32
537,68.31
531,69.3
527,70.29
520,71.28
508,72.27
503,73.26
508,74.25
515,75.24
515,76.23
520,77.22
520,78.21
527,79.2
520,80.19
520,81.18
515,82.17
515,83.16
520,84.15
527,85.14
527,86.13
531,87.12
527,88.11
531,89.1
542,90.09
542,91.08
542,92.07
542,93.06
531,94.05
531,95.04
531,96.03
537,97.02
537,98.01
542,99
545,99.99
553,100.98
545,101.97
553,102.96
553,103.95
545,104.94
553,105.93
556,106.92
594,107.91
589,108.9
589,109.89
589,110.88
594,111.87
602,112.86
607,113.85
618,114.84
615,115.83
607,116.82
607,117.81
607,118.8
602,119.79
607,120.78
615,121.77
607,122.76
607,123.75
607,124.74
602,125.73
589,126.72
594,127.71
589,128.7
594,129.69
594,130.68
607,131.67
618,132.66
626,133.65
626,134.64
631,135.63
631,136.62
631,137.61
638,138.6
638,139.59
626,140.58
618,141.57
626,142.56
626,143.55
626,144.54
618,145.53
618,146.52
615,147.51
618,148.5
618,149.49
618,150.48
626,151.47
626,152.46
626,153.45
615,154.44
615,155.43
618,156.42
618,157.41
618,158.4
626,159.39
631,160.38
626,161.37
631,162.36
626,163.35
618,164.34
618,165.33
618,166.32
615,167.31
615,168.3
607,169.29
607,170.28
602,171.27
594,172.26
602,173.25
602,174.24
602,175.23
602,176.22
602,177.21
602,178.2
602,179.19
615,180.18
615,181.17
653,182.16
694,183.15
730,184.14
708,185.13
708,186.12
702,187.11
702,188.1
702,189.09
715,190.08
708,191.07
730,192.06
730,193.05
768,194.04
791,195.03
827,196.02
817,197.01
827,198
817,198.99
817,199.98
827,200.97
855,201.96
882,202.95
868,203.94
882,204.93
868,205.92
868,206.91
887,207.9
918,208.89
897,209.88
882,210.87
855,211.86
840,212.85
846,213.84
791,214.83
776,215.82
768,216.81
768,217.8
785,218.79
791,219.78
730,220.77
730,221.76
715,222.75
702,223.74
694,224.73
686,225.72
686,226.71
686,227.7
686,228.69
708,229.68
761,230.67
868,231.66
897,232.65
907,233.64
907,234.63
868,235.62
846,236.61
817,237.6
804,238.59
776,239.58
776,240.57
785,241.56
804,242.55
855,243.54
918,244.53
940,245.52
992,246.51
1083,247.5
1168,248.49
1242,249.48
1274,250.47
1302,251.46
1288,252.45
1288,253.44
1274,254.43
1274,255.42
1274,256.41
1228,257.4
1168,258.39
1134,259.38
1134,260.37
1113,261.36
1134,262.35
1122,263.34
1122,264.33
1113,265.32
1095,266.31
1065,267.3
1035,268.29
1035,269.28
1017,270.27
1007,271.26
1017,272.25
1017,273.24
1035,274.23
1035,275.22
1017,276.21
1007,277.2
1007,278.19
1035,279.18
1035,280.17
1017,281.16
1017,282.15
992,283.14
983,284.13
949,285.12
927,286.11
918,287.1
918,288.09
897,289.08
907,290.07
907,291.06
907,292.05
897,293.04
907,294.03
897,295.02
918,296.01
897,297
897,297.99
887,298.98
897,299.97
897,300.96
897,301.95
907,302.94
918,303.93
927,304.92
927,305.91
927,306.9
918,307.89
918,308.88
918,309.87
907,310.86
897,311.85
907,312.84
882,313.83
855,314.82
868,315.81
882,316.8
887,317.79
897,318.78
907,319.77
918,320.76
897,321.75
887,322.74
887,323.73
897,324.72
887,325.71
907,326.7
907,327.69
907,328.68
897,329.67
907,330.66
897,331.65
907,332.64
897,333.63
907,334.62
918,335.61
907,336.6
927,337.59
927,338.58
940,339.57
949,340.56
940,341.55
961,342.54
940,343.53
918,344.52
897,345.51
897,346.5
897,347.49
907,348.48
918,349.47
918,350.46
918,351.45
940,352.44
961,353.43
972,354.42
972,355.41
961,356.4
961,357.39
961,358.38
918,359.37
907,360.36
907,361.35
918,362.34
927,363.33
927,364.32
940,365.31
949,366.3
949,367.29
961,368.28
972,369.27
972,370.26
983,371.25
1035,372.24
1071,373.23
1095,374.22
1113,375.21
1113,376.2
1113,377.19
1113,378.18
1113,379.17
1113,380.16
1113,381.15
1113,382.14
1095,383.13
1083,384.12
1095,385.11
1071,386.1
1071,387.09
1017,388.08
1007,389.07
992,390.06
961,391.05
940,392.04
940,393.03
961,394.02
983,395.01
1017,396
1007,396.99
992,397.98
983,398.97
972,399.96
949,400.95
949,401.94
940,402.93
940,403.92
927,404.91
918,405.9
918,406.89
907,407.88
897,408.87
887,409.86
882,410.85
882,411.84
882,412.83
868,413.82
882,414.81
882,415.8
887,416.79
887,417.78
887,418.77
882,419.76
887,420.75
887,421.74
887,422.73
882,423.72
855,424.71
868,425.7
868,426.69
882,427.68
855,428.67
868,429.66
846,430.65
840,431.64
840,432.63
817,433.62
817,434.61
817,435.6
817,436.59
813,437.58
813,438.57
813,439.56
813,440.55
791,441.54
791,442.53
785,443.52
768,444.51
761,445.5
749,446.49
761,447.48
768,448.47
768,449.46
776,450.45
776,451.44
804,452.43
804,453.42
817,454.41
840,455.4
855,456.39
868,457.38
817,458.37
804,459.36
785,460.35
791,461.34
817,462.33
868,463.32
868,464.31
846,465.3
827,466.29
827,467.28
817,468.27
817,469.26
804,470.25
813,471.24
813,472.23
804,473.22
785,474.21
768,475.2
785,476.19
813,477.18
817,478.17
827,479.16
817,480.15
804,481.14
813,482.13
791,483.12
785,484.11
785,485.1
785,486.09
776,487.08
776,488.07
785,489.06
776,490.05
768,491.04
749,492.03
735,493.02
730,494.01
708,495
708,495.99
708,496.98
702,497.97
715,498.96
744,499.95
761,500.94
791,501.93
785,502.92
776,503.91
785,504.9
804,505.89
804,506.88
817,507.87
804,508.86
791,509.85
776,510.84
776,511.83
768,512.82
768,513.81
761,514.8
761,515.79
749,516.78
749,517.77
761,518.76
785,519.75
804,520.74
813,521.73
791,522.72
776,523.71
768,524.7
768,525.69
776,526.68
785,527.67
785,528.66
791,529.65
776,530.64
785,531.63
776,532.62
761,533.61
735,534.6
735,535.59
730,536.58
708,537.57
708,538.56
694,539.55
694,540.54
686,541.53
694,542.52
686,543.51
671,544.5
678,545.49
686,546.48
702,547.47
694,548.46
702,549.45
730,550.44
715,551.43
730,552.42
715,553.41
702,554.4
708,555.39
715,556.38
735,557.37
749,558.36
749,559.35
744,560.34
761,561.33
768,562.32
785,563.31
813,564.3
813,565.29
785,566.28
776,567.27
768,568.26
776,569.25
768,570.24
761,571.23
749,572.22
744,573.21
715,574.2
715,575.19
702,576.18
694,577.17
678,578.16
686,579.15
686,580.14
678,581.13
678,582.12
678,583.11
686,584.1
702,585.09
702,586.08
715,587.07
715,588.06
730,589.05
735,590.04
749,591.03
730,592.02
715,593.01
715,594
708,594.99
715,595.98
708,596.97
708,597.96
708,598.95
702,599.94
694,600.93
694,601.92
686,602.91
678,603.9
678,604.89
671,605.88
671,606.87
653,607.86
650,608.85
650,609.84
666,610.83
678,611.82
