CO2,seconds
400,0
400,0.99
400,1.98
400,2.97
400,3.96
400,4.95
400,5.94
400,6.93
405,7.92
405,8.91
400,9.9
400,10.89
400,11.88
400,12.87
400,13.86
400,14.85
400,15.84
400,16.83
400,17.82
400,18.81
400,19.8
400,20.79
400,21.78
400,22.77
400,23.76
400,24.75
400,25.74
400,26.73
400,27.72
400,28.71
400,29.7
400,30.69
400,31.68
403,32.67
400,33.66
400,34.65
400,35.64
400,36.63
400,37.62
400,38.61
400,39.6
400,40.59
455,41.58
459,42.57
450,43.56
450,44.55
441,45.54
446,46.53
435,47.52
435,48.51
432,49.5
425,50.49
421,51.48
411,52.47
411,53.46
411,54.45
402,55.44
400,56.43
400,57.42
403,58.41
400,59.4
400,60.39
400,61.38
400,62.37
400,63.36
400,64.35
400,65.34
400,66.33
400,67.32
405,68.31
400,69.3
400,70.29
400,71.28
400,72.27
400,73.26
400,74.25
400,75.24
400,76.23
400,77.22
400,78.21
400,79.2
400,80.19
400,81.18
400,82.17
400,83.16
400,84.15
400,85.14
400,86.13
400,87.12
400,88.11
400,89.1
400,90.09
400,91.08
400,92.07
400,93.06
400,94.05
400,95.04
400,96.03
400,97.02
402,98.01
400,99
400,99.99
400,100.98
400,101.97
400,102.96
400,103.95
405,104.94
400,105.93
400,106.92
409,107.91
409,108.9
409,109.89
400,110.88
400,111.87
400,112.86
400,113.85
403,114.84
400,115.83
400,116.82
402,117.81
400,118.8
400,119.79
400,120.78
400,121.77
402,122.76
402,123.75
400,124.74
400,125.73
400,126.72
400,127.71
400,128.7
400,129.69
400,130.68
400,131.67
400,132.66
400,133.65
400,134.64
400,135.63
400,136.62
400,137.61
402,138.6
400,139.59
400,140.58
400,141.57
400,142.56
400,143.55
405,144.54
400,145.53
400,146.52
400,147.51
400,148.5
400,149.49
400,150.48
400,151.47
400,152.46
400,153.45
405,154.44
405,155.43
400,156.42
400,157.41
400,158.4
400,159.39
405,160.38
400,161.37
400,162.36
400,163.35
400,164.34
400,165.33
400,166.32
406,167.31
409,168.3
411,169.29
411,170.28
416,171.27
409,172.26
409,173.25
406,174.24
400,175.23
400,176.22
400,177.21
403,178.2
403,179.19
400,180.18
400,181.17
403,182.16
407,183.15
403,184.14
400,185.13
400,186.12
400,187.11
400,188.1
400,189.09
400,190.08
400,191.07
400,192.06
402,193.05
402,194.04
400,195.03
400,196.02
400,197.01
400,198
403,198.99
400,199.98
400,200.97
400,201.96
407,202.95
403,203.94
403,204.93
403,205.92
403,206.91
407,207.9
403,208.89
407,209.88
403,210.87
407,211.86
407,212.85
403,213.84
403,214.83
403,215.82
403,216.81
400,217.8
400,218.79
403,219.78
403,220.77
400,221.76
400,222.75
400,223.74
400,224.73
405,225.72
400,226.71
405,227.7
400,228.69
400,229.68
403,230.67
403,231.66
403,232.65
400,233.64
400,234.63
400,235.62
405,236.61
400,237.6
400,238.59
400,239.58
400,240.57
400,241.56
400,242.55
400,243.54
400,244.53
403,245.52
400,246.51
400,247.5
400,248.49
400,249.48
405,250.47
400,251.46
400,252.45
405,253.44
400,254.43
400,255.42
405,256.41
400,257.4
400,258.39
400,259.38
403,260.37
