Time,CO₂(ppm),Temperature(°C),Humidity(%),Pressure(hPa)
1/14/2021 7:19:06 a. m.,"396","22.3","28","946"
1/14/2021 7:20:06 a. m.,"417","22.3","28","946"
1/14/2021 7:21:06 a. m.,"413","22.3","28","946"
1/14/2021 7:22:06 a. m.,"399","22.3","28","946"
1/14/2021 7:23:06 a. m.,"413","22.3","28","946"
1/14/2021 7:24:06 a. m.,"401","22.3","28","946"
1/14/2021 7:25:06 a. m.,"397","22.3","28","946"
1/14/2021 7:26:06 a. m.,"413","22.3","28","946"
1/14/2021 7:27:06 a. m.,"403","22.3","28","946"
1/14/2021 7:28:06 a. m.,"385","22.3","28","946"
1/14/2021 7:29:06 a. m.,"412","22.2","28","946"
1/14/2021 7:30:06 a. m.,"416","22.3","28","946"
1/14/2021 7:31:06 a. m.,"404","22.3","29","946"
1/14/2021 7:32:06 a. m.,"410","22.3","29","946"
1/14/2021 7:33:06 a. m.,"416","22.3","29","946"
1/14/2021 7:34:06 a. m.,"398","22.3","29","946"
1/14/2021 7:35:06 a. m.,"418","22.3","28","946"
1/14/2021 7:36:06 a. m.,"423","22.3","28","946"
1/14/2021 7:37:06 a. m.,"404","22.3","29","946"
1/14/2021 7:38:06 a. m.,"409","22.3","29","946"
1/14/2021 7:39:06 a. m.,"418","22.3","29","946"
1/14/2021 7:40:06 a. m.,"402","22.3","29","946"
1/14/2021 7:41:06 a. m.,"403","22.4","29","946"
1/14/2021 7:42:06 a. m.,"414","22.4","29","946"
1/14/2021 7:43:06 a. m.,"405","22.4","29","946"
1/14/2021 7:44:06 a. m.,"402","22.4","29","946"
1/14/2021 7:45:06 a. m.,"418","22.4","29","946"
1/14/2021 7:46:06 a. m.,"414","22.5","29","946"
1/14/2021 7:47:06 a. m.,"422","22.5","29","946"
1/14/2021 7:48:06 a. m.,"415","22.5","29","946"
1/14/2021 7:49:06 a. m.,"421","22.5","29","946"
1/14/2021 7:50:06 a. m.,"416","22.6","29","946"
1/14/2021 7:51:06 a. m.,"404","22.6","29","946"
1/14/2021 7:52:06 a. m.,"401","22.6","29","946"
1/14/2021 7:53:06 a. m.,"404","22.7","29","946"
1/14/2021 7:54:06 a. m.,"405","22.7","29","946"
1/14/2021 7:55:06 a. m.,"405","22.7","29","946"
1/14/2021 7:56:06 a. m.,"406","22.7","29","946"
1/14/2021 7:57:06 a. m.,"399","22.7","29","946"
1/14/2021 7:58:06 a. m.,"408","22.7","29","946"
1/14/2021 7:59:06 a. m.,"404","22.8","29","946"
1/14/2021 8:00:06 a. m.,"398","22.8","29","946"
1/14/2021 8:01:06 a. m.,"393","22.8","29","946"
1/14/2021 8:02:06 a. m.,"402","22.8","29","946"
1/14/2021 8:03:06 a. m.,"404","22.9","29","946"
1/14/2021 8:04:06 a. m.,"406","22.9","29","946"
1/14/2021 8:05:06 a. m.,"398","22.9","29","946"
1/14/2021 8:06:06 a. m.,"411","22.9","29","946"
1/14/2021 8:07:06 a. m.,"398","23.0","29","946"
1/14/2021 8:08:06 a. m.,"410","23.0","29","946"
1/14/2021 8:09:06 a. m.,"401","22.9","29","946"
1/14/2021 8:10:06 a. m.,"393","23.0","29","946"
1/14/2021 8:11:06 a. m.,"399","23.0","29","946"
1/14/2021 8:12:06 a. m.,"410","23.0","29","946"
1/14/2021 8:13:06 a. m.,"397","23.0","29","946"
1/14/2021 8:14:06 a. m.,"402","23.0","29","946"
1/14/2021 8:15:06 a. m.,"399","23.0","29","946"
1/14/2021 8:16:06 a. m.,"411","23.1","29","946"
1/14/2021 8:17:06 a. m.,"405","23.1","29","946"
1/14/2021 8:18:06 a. m.,"402","23.1","29","946"
1/14/2021 8:19:06 a. m.,"395","23.1","29","946"
1/14/2021 8:20:06 a. m.,"407","23.1","29","946"
1/14/2021 8:21:06 a. m.,"387","23.1","29","946"
1/14/2021 8:22:06 a. m.,"403","23.2","29","946"
1/14/2021 8:23:06 a. m.,"398","23.2","29","946"
1/14/2021 8:24:06 a. m.,"388","23.2","28","946"
1/14/2021 8:25:06 a. m.,"405","23.2","28","946"
1/14/2021 8:26:06 a. m.,"397","23.2","28","946"
1/14/2021 8:27:06 a. m.,"407","23.3","28","946"
1/14/2021 8:28:06 a. m.,"410","23.3","28","946"
1/14/2021 8:29:06 a. m.,"393","23.3","28","946"
1/14/2021 8:30:06 a. m.,"395","23.3","28","946"
1/14/2021 8:31:06 a. m.,"399","23.3","28","946"
1/14/2021 8:32:06 a. m.,"399","23.4","28","946"
1/14/2021 8:33:06 a. m.,"389","23.4","28","946"
1/14/2021 8:34:06 a. m.,"402","23.4","28","946"
1/14/2021 8:35:06 a. m.,"395","23.4","28","946"
1/14/2021 8:36:06 a. m.,"405","23.5","28","946"
1/14/2021 8:37:06 a. m.,"395","23.5","28","946"
1/14/2021 8:38:06 a. m.,"407","23.5","28","946"
1/14/2021 8:39:06 a. m.,"387","23.5","28","946"
1/14/2021 8:40:06 a. m.,"395","23.5","28","946"
1/14/2021 8:41:06 a. m.,"394","23.5","28","946"
1/14/2021 8:42:06 a. m.,"395","23.6","27","946"
1/14/2021 8:43:06 a. m.,"393","23.6","27","946"
